,Time,Open,High,Close,Low
0,2024-07-12,194.8000,196.4700,194.4900,193.8301
1,2024-07-11,200.0900,200.2699,195.0500,192.8600
2,2024-07-10,199.9950,200.1100,199.7900,197.6900
3,2024-07-09,199.4000,200.5700,199.3400,199.0450
4,2024-07-08,200.0400,201.2000,199.2900,197.9600
5,2024-07-05,198.6500,200.5500,200.0000,198.1700
6,2024-07-03,199.9400,200.0290,197.5900,196.7601
7,2024-07-02,197.2800,200.4300,200.0000,195.9300
8,2024-07-01,193.4900,198.2957,197.2000,192.8200
9,2024-06-28,197.7300,198.8500,193.2500,192.5000
10,2024-06-27,195.0050,199.8400,197.8500,194.2000
11,2024-06-26,186.9200,194.8000,193.6100,186.2600
12,2024-06-25,186.8100,188.8400,186.3400,185.4200
13,2024-06-24,189.3300,191.0000,185.5700,185.3300
14,2024-06-21,187.8000,189.2750,189.0800,185.8600
15,2024-06-20,182.9100,186.5100,186.1000,182.7200
16,2024-06-18,183.7350,184.2900,182.8100,181.4300
17,2024-06-17,182.5200,185.0000,184.0600,181.2200
18,2024-06-14,183.0800,183.7200,183.6600,182.2300
19,2024-06-13,186.0900,187.6700,183.8300,182.6660
20,2024-06-12,188.0150,188.3500,186.8900,185.4300
21,2024-06-11,187.0600,187.7700,187.2300,184.5373
22,2024-06-10,184.0700,187.2300,187.0600,183.7900
23,2024-06-07,184.9000,186.2888,184.3000,183.3600
24,2024-06-06,181.7450,185.0000,185.0000,181.4900
25,2024-06-05,180.1000,181.5000,181.2800,178.7500
26,2024-06-04,177.6400,179.8200,179.3400,176.4400
27,2024-06-03,177.7000,178.7000,178.3400,175.9200
28,2024-05-31,178.3000,179.2100,176.4400,173.8700
29,2024-05-30,181.3100,181.3400,179.3200,178.3550
30,2024-05-29,181.7000,184.0800,182.0200,181.5500
31,2024-05-28,179.9300,182.2400,182.1500,179.4900
32,2024-05-24,181.6500,182.4350,180.7500,180.3000
33,2024-05-23,183.6600,184.7600,181.0500,180.0800
34,2024-05-22,183.8800,185.2200,183.1300,181.9715
35,2024-05-21,182.3000,183.2600,183.1500,180.7500
36,2024-05-20,184.3400,186.6650,183.5400,183.2800
37,2024-05-17,183.7600,185.3000,184.7000,183.3500
